,Store,Dept,Date,Weekly_Sales,IsHoliday
73,1,1,2011-07-01,15363.5,False
74,1,1,2011-07-08,16148.87,False
75,1,1,2011-07-15,15654.85,False
76,1,1,2011-07-22,15766.6,False
77,1,1,2011-07-29,15922.41,False
78,1,1,2011-08-05,15295.55,False
79,1,1,2011-08-12,14539.79,False
80,1,1,2011-08-19,14689.24,False
81,1,1,2011-08-26,14537.37,False
216,1,2,2011-07-01,45247.74,False
217,1,2,2011-07-08,44623.23,False
218,1,2,2011-07-15,43260.96,False
219,1,2,2011-07-22,45113.56,False
220,1,2,2011-07-29,43191.02,False
221,1,2,2011-08-05,49359.75,False
222,1,2,2011-08-12,45341.92,False
223,1,2,2011-08-19,46391.12,False
224,1,2,2011-08-26,47659.93,False
359,1,3,2011-07-01,8070.64,False
360,1,3,2011-07-08,7366.5,False
361,1,3,2011-07-15,11578.11,False
362,1,3,2011-07-22,16069.5,False
363,1,3,2011-07-29,21331.51,False
364,1,3,2011-08-05,31248.98,False
365,1,3,2011-08-12,32148.93,False
366,1,3,2011-08-19,41603.11,False
367,1,3,2011-08-26,49775.52,False
502,1,4,2011-07-01,36451.71,False
503,1,4,2011-07-08,39149.99,False
504,1,4,2011-07-15,33930.8,False
505,1,4,2011-07-22,34630.02,False
506,1,4,2011-07-29,35555.5,False
507,1,4,2011-08-05,39339.09,False
508,1,4,2011-08-12,37449.94,False
509,1,4,2011-08-19,39148.87,False
510,1,4,2011-08-26,37495.2,False
645,1,5,2011-07-01,19239.86,False
646,1,5,2011-07-08,17989.45,False
647,1,5,2011-07-15,18444.8,False
648,1,5,2011-07-22,19331.53,False
649,1,5,2011-07-29,17406.68,False
650,1,5,2011-08-05,21183.42,False
651,1,5,2011-08-12,21320.93,False
652,1,5,2011-08-19,18643.51,False
653,1,5,2011-08-26,15478.26,False
788,1,6,2011-07-01,4047.92,False
789,1,6,2011-07-08,3412.08,False
790,1,6,2011-07-15,3154.33,False
791,1,6,2011-07-22,3665.52,False
792,1,6,2011-07-29,2839.92,False
793,1,6,2011-08-05,2864.27,False
794,1,6,2011-08-12,3124.83,False
795,1,6,2011-08-19,3717.28,False
796,1,6,2011-08-26,3296.22,False
931,1,7,2011-07-01,23747.1,False
932,1,7,2011-07-08,20691.6,False
933,1,7,2011-07-15,14805.42,False
934,1,7,2011-07-22,16002.3,False
935,1,7,2011-07-29,16061.11,False
936,1,7,2011-08-05,17388.43,False
937,1,7,2011-08-12,14088.28,False
938,1,7,2011-08-19,13413.8,False
939,1,7,2011-08-26,12116.03,False
1074,1,8,2011-07-01,34063.23,False
1075,1,8,2011-07-08,35582.39,False
1076,1,8,2011-07-15,33336.29,False
1077,1,8,2011-07-22,34006.29,False
1078,1,8,2011-07-29,31981.72,False
1079,1,8,2011-08-05,35484.32,False
1080,1,8,2011-08-12,31061.21,False
1081,1,8,2011-08-19,32707.8,False
1082,1,8,2011-08-26,32668.5,False
1217,1,9,2011-07-01,23809.04,False
1218,1,9,2011-07-08,24644.78,False
1219,1,9,2011-07-15,17344.99,False
1220,1,9,2011-07-22,16973.16,False
1221,1,9,2011-07-29,18244.55,False
1222,1,9,2011-08-05,21425.32,False
1223,1,9,2011-08-12,18708.23,False
1224,1,9,2011-08-19,18244.5,False
1225,1,9,2011-08-26,21140.44,False
1360,1,10,2011-07-01,29583.91,False
1361,1,10,2011-07-08,31714.81,False
1362,1,10,2011-07-15,28299.95,False
1363,1,10,2011-07-22,29459.23,False
1364,1,10,2011-07-29,30521.96,False
1365,1,10,2011-08-05,32548.48,False
1366,1,10,2011-08-12,31383.62,False
1367,1,10,2011-08-19,28909.06,False
1368,1,10,2011-08-26,30630.65,False
1503,1,11,2011-07-01,33808.27,False
1504,1,11,2011-07-08,31642.79,False
1505,1,11,2011-07-15,37603.73,False
1506,1,11,2011-07-22,33734.44,False
1507,1,11,2011-07-29,31884.24,False
1508,1,11,2011-08-05,33020.31,False
1509,1,11,2011-08-12,23696.66,False
1510,1,11,2011-08-19,18661.68,False
1511,1,11,2011-08-26,19767.53,False
1646,1,12,2011-07-01,11414.72,False
1647,1,12,2011-07-08,12384.1,False
1648,1,12,2011-07-15,10046.0,False
1649,1,12,2011-07-22,11455.24,False
1650,1,12,2011-07-29,11641.86,False
1651,1,12,2011-08-05,10145.97,False
1652,1,12,2011-08-12,11581.03,False
1653,1,12,2011-08-19,10094.04,False
1654,1,12,2011-08-26,8594.52,False
1789,1,13,2011-07-01,37414.14,False
1790,1,13,2011-07-08,38193.09,False
1791,1,13,2011-07-15,36966.32,False
1792,1,13,2011-07-22,37990.15,False
1793,1,13,2011-07-29,34910.1,False
1794,1,13,2011-08-05,42542.66,False
1795,1,13,2011-08-12,37593.97,False
1796,1,13,2011-08-19,38533.7,False
1797,1,13,2011-08-26,38727.3,False
1932,1,14,2011-07-01,13459.55,False
1933,1,14,2011-07-08,11578.97,False
1934,1,14,2011-07-15,11404.37,False
1935,1,14,2011-07-22,11681.04,False
1936,1,14,2011-07-29,9918.05,False
1937,1,14,2011-08-05,13330.04,False
1938,1,14,2011-08-12,12652.58,False
1939,1,14,2011-08-19,11724.24,False
1940,1,14,2011-08-26,14364.42,False
2075,1,16,2011-07-01,33435.46,False
2076,1,16,2011-07-08,32379.77,False
2077,1,16,2011-07-15,25134.4,False
2078,1,16,2011-07-22,20795.03,False
2079,1,16,2011-07-29,19681.62,False
2080,1,16,2011-08-05,21143.58,False
2081,1,16,2011-08-12,17998.16,False
2082,1,16,2011-08-19,15998.18,False
2083,1,16,2011-08-26,11671.46,False
2218,1,17,2011-07-01,7424.91,False
2219,1,17,2011-07-08,8444.58,False
2220,1,17,2011-07-15,7205.38,False
2221,1,17,2011-07-22,7826.08,False
2222,1,17,2011-07-29,7500.48,False
2223,1,17,2011-08-05,8100.38,False
2224,1,17,2011-08-12,8893.77,False
2225,1,17,2011-08-19,7974.09,False
2226,1,17,2011-08-26,9138.11,False
2346,1,18,2011-07-01,0.5,False
2347,1,18,2011-07-15,0.3,False
2348,1,18,2011-08-26,4.97,False
2474,1,19,2011-07-01,750.76,False
2475,1,19,2011-07-08,624.94,False
